"carrier_id","type","date_pulled","owned","term_leased","trip_leased"
1000246,Truck Tractors,"5/26/2023",3,0,0
1000246,Trailers*,"5/26/2023",8,0,0
1000246,Hazmat Cargo Tank Trucks,"5/26/2023",1,0,0
1000249,Straight Trucks,"5/26/2023",5,0,0
1000249,Trailers*,"5/26/2023",1,0,0
1000252,Straight Trucks,"5/26/2023",1,0,0
1000252,Trailers*,"5/26/2023",1,0,0
1000254,Straight Trucks,"5/26/2023",3,0,0
1000255,Straight Trucks,"5/26/2023",1,0,0
1000255,Trailers*,"5/26/2023",1,0,0
1000258,Straight Trucks,"5/26/2023",0,2,0
1000261,Straight Trucks,"5/26/2023",1,0,0
1000262,Straight Trucks,"5/26/2023",4,0,0
1000262,Trailers*,"5/26/2023",1,0,0
1000262,Van 1-8*,"5/26/2023",1,0,0
1000263,Straight Trucks,"5/26/2023",1,0,0
1000263,Trailers*,"5/26/2023",1,0,0
1000264,Straight Trucks,"5/26/2023",2,0,0
1000264,Trailers*,"5/26/2023",1,0,0
1000266,Straight Trucks,"5/26/2023",4,0,0
1000266,Truck Tractors,"5/26/2023",2,0,0
1000266,Trailers*,"5/26/2023",2,0,0
1000267,Straight Trucks,"5/26/2023",4,0,0
1000268,Straight Trucks,"5/26/2023",1,0,0
1000273,Straight Trucks,"5/26/2023",9,0,0
1000279,Truck Tractors,"5/26/2023",1,0,0
1000283,Straight Trucks,"5/26/2023",1,0,0
1000283,Trailers*,"5/26/2023",1,0,0
1000286,Straight Trucks,"5/26/2023",1,0,0
1000288,Truck Tractors,"5/26/2023",1,0,0
1000292,Straight Trucks,"5/26/2023",14,0,0
1000292,Truck Tractors,"5/26/2023",3,0,0
1000292,Trailers*,"5/26/2023",5,0,0
1000294,Straight Trucks,"5/26/2023",1,0,0
1000295,Straight Trucks,"5/26/2023",2,0,0
1000297,Straight Trucks,"5/26/2023",2,0,0
1000297,Trailers*,"5/26/2023",1,0,0
1000299,Straight Trucks,"5/26/2023",4,0,0
1000300,Straight Trucks,"5/26/2023",1,0,0
1000301,Straight Trucks,"5/26/2023",3,0,0
1000301,Truck Tractors,"5/26/2023",3,0,0
1000301,Trailers*,"5/26/2023",6,0,0
1000302,Straight Trucks,"5/26/2023",1,0,0
1000305,Truck Tractors,"5/26/2023",1,0,0
1000305,Trailers*,"5/26/2023",1,0,0
1000312,Straight Trucks,"5/26/2023",3,0,0
1000312,Trailers*,"5/26/2023",2,0,0
1000316,Straight Trucks,"5/26/2023",1,0,0
100032,Straight Trucks,"5/26/2023",1,0,0
1000320,Straight Trucks,"5/26/2023",5,0,0
1000320,Truck Tractors,"5/26/2023",1,0,0
1000320,Trailers*,"5/26/2023",1,0,0
1000321,Truck Tractors,"5/26/2023",1,0,0
1000321,Trailers*,"5/26/2023",1,0,0
1000324,Truck Tractors,"5/26/2023",2,0,0
1000324,Trailers*,"5/26/2023",4,0,0
1000325,Straight Trucks,"5/26/2023",1,0,0
1000325,Trailers*,"5/26/2023",1,0,0
1000329,Straight Trucks,"5/26/2023",1,0,0
1000333,Truck Tractors,"5/26/2023",2,0,0
1000333,Trailers*,"5/26/2023",2,0,0
1000334,Straight Trucks,"5/26/2023",3,0,0
1000336,Straight Trucks,"5/26/2023",1,0,0
1000336,Trailers*,"5/26/2023",1,0,0
1000338,Straight Trucks,"5/26/2023",8,0,0
1000338,Truck Tractors,"5/26/2023",2,0,0
1000338,Trailers*,"5/26/2023",8,0,0
1000341,Straight Trucks,"5/26/2023",1,0,0
1000341,Trailers*,"5/26/2023",1,0,0
1000342,Truck Tractors,"5/26/2023",1,0,0
1000342,Trailers*,"5/26/2023",1,0,0
1000346,Straight Trucks,"5/26/2023",2,0,0
1000347,Truck Tractors,"5/26/2023",2,0,0
1000347,Trailers*,"5/26/2023",2,0,0
1000349,Straight Trucks,"5/26/2023",1,0,0
1000350,Straight Trucks,"5/26/2023",2,0,0
1000356,Truck Tractors,"5/26/2023",2,0,0
1000356,Trailers*,"5/26/2023",7,0,0
1000357,Straight Trucks,"5/26/2023",1,0,0
1000364,Truck Tractors,"5/26/2023",1,0,0
1000364,Trailers*,"5/26/2023",1,0,0
1000368,Truck Tractors,"5/26/2023",1,0,0
1000369,Truck Tractors,"5/26/2023",1,0,0
1000369,Trailers*,"5/26/2023",2,0,0
1000370,Straight Trucks,"5/26/2023",1,0,0
1000370,Trailers*,"5/26/2023",1,0,0
1000371,Straight Trucks,"5/26/2023",6,0,0
1000371,Truck Tractors,"5/26/2023",1,0,0
1000371,Trailers*,"5/26/2023",5,0,0
1000373,Truck Tractors,"5/26/2023",1,0,0
1000373,Trailers*,"5/26/2023",1,0,0
1000375,Straight Trucks,"5/26/2023",2,0,0
1000377,Straight Trucks,"5/26/2023",4,0,0
1000377,Trailers*,"5/26/2023",3,0,0
1000377,Hazmat Cargo Tank Trucks,"5/26/2023",1,0,0
100038,Straight Trucks,"5/26/2023",3,0,0
100038,Trailers*,"5/26/2023",1,0,0
1000380,Truck Tractors,"5/26/2023",2,0,0
1000384,Straight Trucks,"5/26/2023",7,0,0
1000384,Trailers*,"5/26/2023",2,0,0
1000386,Hazmat Cargo Tank Trucks,"5/26/2023",4,0,0
1000388,Straight Trucks,"5/26/2023",2,0,0
1000388,Trailers*,"5/26/2023",1,0,0
1000391,Straight Trucks,"5/26/2023",14,0,0
1000394,Straight Trucks,"5/26/2023",5,0,0
1000395,Straight Trucks,"5/26/2023",1,1,0
1000400,Straight Trucks,"5/26/2023",4,0,0
1000408,Truck Tractors,"5/26/2023",3,0,0
1000408,Trailers*,"5/26/2023",3,0,0
1000410,Truck Tractors,"5/26/2023",2,0,0
1000410,Trailers*,"5/26/2023",3,0,0
1000412,Straight Trucks,"5/26/2023",2,0,0
1000414,Straight Trucks,"5/26/2023",9,0,0
1000417,Straight Trucks,"5/26/2023",6,0,0
1000417,Truck Tractors,"5/26/2023",3,0,0
1000417,Trailers*,"5/26/2023",6,0,0
1000419,Truck Tractors,"5/26/2023",3,0,0
1000423,Straight Trucks,"5/26/2023",0,0,1
1000427,Straight Trucks,"5/26/2023",1,0,0
1000427,Trailers*,"5/26/2023",1,0,0
1000428,Straight Trucks,"5/26/2023",1,0,0
1000429,Straight Trucks,"5/26/2023",1,0,0
1000429,Truck Tractors,"5/26/2023",1,0,0
1000429,Trailers*,"5/26/2023",1,0,0
1000436,Straight Trucks,"5/26/2023",2,0,0
1000436,Trailers*,"5/26/2023",2,0,0
1000438,Straight Trucks,"5/26/2023",1,0,0
1000439,Straight Trucks,"5/26/2023",5,0,0
1000440,Truck Tractors,"5/26/2023",11,0,0
1000440,Trailers*,"5/26/2023",15,0,0
1000444,Straight Trucks,"5/26/2023",1,0,0
1000446,Straight Trucks,"5/26/2023",2,0,0
1000448,Straight Trucks,"5/26/2023",5,0,0
1000448,Trailers*,"5/26/2023",4,0,0
1000450,Straight Trucks,"5/26/2023",4,0,0
1000452,Truck Tractors,"5/26/2023",1,0,0
1000452,Trailers*,"5/26/2023",1,0,0
