"carrier_id","date_pulled","cargo_carried"
1000295,"5/26/2023","{""BUILDING MATERIALS"",CONSTRUCTION}"
1000297,"5/26/2023","{""BUILDING MATERIALS"",MACHINERY,""LARGE OBJECTS"",""COMMODITIES DRY BULK"",CONSTRUCTION}"
1000299,"5/26/2023","{SAND,GRAVEL}"
1000300,"5/26/2023","{""GENERAL FREIGHT""}"
1000301,"5/26/2023","{LOGS,POLES,BEAMS,LUMBER,MACHINERY,""LARGE OBJECTS""}"
1000302,"5/26/2023","{""GENERAL FREIGHT""}"
1000305,"5/26/2023","{MACHINERY,""LARGE OBJECTS""}"
1000312,"5/26/2023","{""GENERAL FREIGHT"",MACHINERY,""LARGE OBJECTS"",CONSTRUCTION}"
1000316,"5/26/2023","{""COMMODITIES DRY BULK"",SOIL}"
100032,"5/26/2023","{""BUILDING MATERIALS"",""NO LONGER OWN OR OPERATE ANY TRUCKS""}"
1000320,"5/26/2023",{CONSTRUCTION}
1000321,"5/26/2023","{""MOTOR VEHICLES""}"
1000324,"5/26/2023","{""BUILDING MATERIALS"",MACHINERY,""LARGE OBJECTS"",LIVESTOCK,GRAIN,FEED,HAY,""FARM SUPPLIES""}"
1000325,"5/26/2023","{MACHINERY,""LARGE OBJECTS"",""COMMODITIES DRY BULK""}"
1000329,"5/26/2023","{""MOBILE HOMES""}"
1000333,"5/26/2023","{LOGS,POLES,BEAMS,LUMBER}"
1000334,"5/26/2023","{""GENERAL FREIGHT"",""HOUSEHOLD GOODS"",""BUILDING MATERIALS""}"
1000336,"5/26/2023","{MACHINERY,""LARGE OBJECTS"",""GOLF CARTS""}"
1000338,"5/26/2023",{CONSTRUCTION}
1000341,"5/26/2023","{MACHINERY,""LARGE OBJECTS""}"
1000342,"5/26/2023","{""GENERAL FREIGHT"",""FRESH PRODUCE"",""REFRIGERATED FOOD"",BEVERAGES,""PAPER PRODUCTS""}"
1000346,"5/26/2023","{""BUILDING MATERIALS"",MACHINERY,""LARGE OBJECTS"",""FRESH PRODUCE"",""FARM SUPPLIES"",CONSTRUCTION}"
1000347,"5/26/2023","{LOGS,POLES,BEAMS,LUMBER,""FRESH PRODUCE"",GRAIN,FEED,HAY,""COMMODITIES DRY BULK"",""REFRIGERATED FOOD""}"
1000349,"5/26/2023","{""METAL; SHEETS"",COILS,ROLLS}"
1000350,"5/26/2023","{""COMMODITIES DRY BULK"",CONSTRUCTION}"
1000356,"5/26/2023","{LOGS,POLES,BEAMS,LUMBER,MACHINERY,""LARGE OBJECTS""}"
1000357,"5/26/2023","{SAND,GRAVEL}"
1000364,"5/26/2023","{""GENERAL FREIGHT"",""HOUSEHOLD GOODS"",""METAL; SHEETS"",COILS,ROLLS,LOGS,POLES,BEAMS,LUMBER,""BUILDING MATERIALS"",MACHINERY,""LARGE OBJECTS"",GRAIN,FEED,HAY,GARBAGE,REFUSE,TRASH,""PAPER PRODUCTS"",""FARM SUPPLIES""}"
1000368,"5/26/2023","{""GENERAL FREIGHT"",""HOUSEHOLD GOODS"",""METAL; SHEETS"",COILS,ROLLS,""BUILDING MATERIALS"",""FRESH PRODUCE"",GRAIN,FEED,HAY,MEAT,""COMMODITIES DRY BULK"",""REFRIGERATED FOOD"",""PAPER PRODUCTS"",UTILITY}"
1000369,"5/26/2023","{GRAIN,FEED,HAY}"
1000370,"5/26/2023","{MACHINERY,""LARGE OBJECTS""}"
1000371,"5/26/2023","{LOGS,POLES,BEAMS,LUMBER,MACHINERY,""LARGE OBJECTS""}"
